video_time,x_rot,y_rot,z_rot,quat_x,quat_y,quat_z,quat_w,left_eye_vector_x,left_eye_vector_y,left_eye_vector_z,right_eye_vector_x,right_eye_vector_y,right_eye_vector_z,left_eye_texture_x,left_eye_texture_y,right_eye_texture_x,right_eye_texture_y
1.833615,3.378203,156.1605,356.2324,-0.02606502,0.9776843,-0.03561155,0.2053922,0.4034739,-0.05892661,-0.9130918,0.4034739,-0.05892661,-0.9130918,624.6835,985.5726,624.6835,985.5726
1.86101,3.429308,156.1266,356.2454,-0.02585136,0.9776164,-0.03603183,0.2056684,0.4039926,-0.059817,-0.9128044,0.4039926,-0.059817,-0.9128044,624.298,984.995,624.298,984.995
1.889496,3.427354,156.1051,356.2968,-0.02540957,0.9775897,-0.03592765,0.2058685,0.4043358,-0.05978295,-0.9126547,0.4043358,-0.05978295,-0.9126547,624.0527,985.0182,624.0527,985.0182
1.91822,3.397991,156.0398,356.3817,-0.02471822,0.9774966,-0.03553879,0.2064615,0.4053878,-0.05927137,-0.9122213,0.4053878,-0.05927137,-0.9122213,623.307,985.3542,623.307,985.3542
1.946845,3.458508,155.9164,356.4472,-0.02401064,0.9772757,-0.03596264,0.2075151,0.4073259,-0.06032569,-0.9112884,0.4073259,-0.06032569,-0.9112884,621.9012,984.6744,621.9012,984.6744
1.975195,3.499409,155.8884,356.5382,-0.02315053,0.9772354,-0.03615208,0.2077696,0.4077535,-0.06103822,-0.9110496,0.4077535,-0.06103822,-0.9110496,621.5832,984.2124,621.5832,984.2124
2.004655,3.20515,156.0313,356.6658,-0.02264227,0.9775768,-0.03338388,0.2066795,0.4056019,-0.05591125,-0.9123382,0.4056019,-0.05591125,-0.9123382,623.2045,987.5405,623.2045,987.5405
2.032247,2.892678,156.1996,356.7169,-0.02281927,0.9779441,-0.03059336,0.2053502,0.4030383,-0.0504653,-0.9137907,0.4030383,-0.0504653,-0.9137907,625.1169,991.0767,625.1169,991.0767
2.060836,2.595663,156.2788,356.6523,-0.02392568,0.978118,-0.02815847,0.2047435,0.4018739,-0.04528736,-0.9145745,0.4018739,-0.04528736,-0.9145745,626.0151,994.444,626.0151,994.444
2.089609,2.138061,156.1754,356.5408,-0.02567807,0.9779649,-0.02447594,0.2057332,0.4036568,-0.03730755,-0.9141496,0.4036568,-0.03730755,-0.9141496,624.8215,999.644,624.8215,999.644
2.119158,1.897079,155.9773,356.5159,-0.02628642,0.9776252,-0.02250988,0.2074882,0.4068748,-0.03310422,-0.912884,0.4068748,-0.03310422,-0.912884,622.5496,1002.388,622.5496,1002.388
2.147022,1.744605,155.7705,356.5694,-0.02606918,0.9772736,-0.02115951,0.209306,0.4102018,-0.03044439,-0.9114865,0.4102018,-0.03044439,-0.9114865,620.1799,1004.126,620.1799,1004.126
2.175267,1.698178,155.6223,356.692,-0.02508291,0.9770329,-0.0205723,0.210605,0.412568,-0.02963445,-0.9104446,0.412568,-0.02963445,-0.9104446,618.498,1004.657,618.498,1004.657
2.204347,1.855811,155.5411,356.7283,-0.02446622,0.9768787,-0.02186652,0.2112613,0.4138232,-0.03238435,-0.9097811,0.4138232,-0.03238435,-0.9097811,617.57,1002.868,617.57,1002.868
2.233263,2.034198,155.4437,356.7533,-0.02390328,0.9766877,-0.02336124,0.2120476,0.4153253,-0.03549599,-0.9089801,0.4153253,-0.03549599,-0.9089801,616.4586,1000.844,616.4586,1000.844
2.261295,2.25373,155.3575,356.882,-0.02237895,0.9765303,-0.02501053,0.2127496,0.4166323,-0.03932486,-0.9082242,0.4166323,-0.03932486,-0.9082242,615.4814,998.355,615.4814,998.355
2.289627,2.46134,155.3276,357.0113,-0.02088364,0.9764729,-0.02654494,0.2129789,0.4170449,-0.04294528,-0.9078708,0.4170449,-0.04294528,-0.9078708,615.1482,996.0006,615.1482,996.0006
2.318216,2.574723,155.3531,357.1338,-0.01963407,0.9765262,-0.02727882,0.2127604,0.4166034,-0.04492226,-0.9079778,0.4166034,-0.04492226,-0.9079778,615.4447,994.7141,615.4447,994.7141
2.347577,2.664243,155.4074,357.1686,-0.01918348,0.9766194,-0.02796777,0.2122837,0.4157137,-0.04648305,-0.908307,0.4157137,-0.04648305,-0.908307,616.0673,993.6973,616.0673,993.6973
2.37574,2.764716,155.4613,357.2119,-0.01864109,0.9767106,-0.02873492,0.2118095,0.4148245,-0.04823467,-0.908622,0.4148245,-0.04823467,-0.908622,616.6863,992.5564,616.6863,992.5564
2.403749,2.86333,155.5719,357.3165,-0.017594,0.9769149,-0.02936478,0.2108686,0.4130345,-0.04995374,-0.9093443,0.4130345,-0.04995374,-0.9093443,617.9518,991.4344,617.9518,991.4344
2.432629,2.885866,155.6624,357.3128,-0.01760718,0.9770767,-0.02954976,0.2100903,0.4115893,-0.05034657,-0.9099778,0.4115893,-0.05034657,-0.9099778,618.9852,991.1756,618.9852,991.1756
2.461295,2.957358,155.7061,357.2815,-0.01775437,0.9771394,-0.03020993,0.209692,0.4108693,-0.05159273,-0.9102333,0.4108693,-0.05159273,-0.9102333,619.486,990.3634,619.486,990.3634
2.48987,3.032603,155.7772,357.2383,-0.01800275,0.9772491,-0.03091911,0.2090555,0.4097118,-0.05290418,-0.9106796,0.4097118,-0.05290418,-0.9106796,620.2993,989.5076,620.2993,989.5076
2.51819,3.002113,155.8261,357.2182,-0.01824318,0.9773406,-0.03068803,0.2086402,0.4089448,-0.05237278,-0.911055,0.4089448,-0.05237278,-0.911055,620.8571,989.8513,620.8571,989.8513
2.54686,2.974673,155.8383,357.2255,-0.01823506,0.9773688,-0.03043897,0.2085452,0.4087614,-0.05189452,-0.9111648,0.4087614,-0.05189452,-0.9111648,620.9951,990.1619,620.9951,990.1619
2.575309,3.020333,155.8633,357.2144,-0.01825267,0.9774044,-0.03084447,0.2083175,0.4083468,-0.05269033,-0.911305,0.4083468,-0.05269033,-0.911305,621.2818,989.6432,621.2818,989.6432
2.60534,2.965621,155.9147,357.1566,-0.01885931,0.9774981,-0.03047455,0.207878,0.4075501,-0.05173674,-0.9117161,0.4075501,-0.05173674,-0.9117161,621.8661,990.2614,621.8661,990.2614
2.632833,2.884176,155.9263,357.1185,-0.01933635,0.9775268,-0.02984722,0.2077898,0.4073944,-0.05031711,-0.9118651,0.4073944,-0.05031711,-0.9118651,621.9966,991.1844,621.9966,991.1844
2.661317,2.821325,155.8896,357.0532,-0.01999827,0.9774594,-0.02943596,0.2081029,0.4080015,-0.04922151,-0.9116534,0.4080015,-0.04922151,-0.9116534,621.5751,991.8987,621.5751,991.8987
2.689355,2.854371,155.8186,356.9803,-0.02054102,0.9773121,-0.02986281,0.2086801,0.409118,-0.04979757,-0.9111217,0.409118,-0.04979757,-0.9111217,620.7666,991.5267,620.7666,991.5267
2.718349,2.913266,155.7515,356.9533,-0.02064575,0.9771751,-0.03042627,0.2092294,0.4101638,-0.05082419,-0.9105947,0.4101638,-0.05082419,-0.9105947,620.0027,990.8616,620.0027,990.8616
2.746676,2.96824,155.7083,357.0413,-0.01978262,0.9771022,-0.03074169,0.2096069,0.410831,-0.05178239,-0.9102398,0.410831,-0.05178239,-0.9102398,619.511,990.24,619.511,990.24
2.775851,3.066563,155.6829,357.1386,-0.01876475,0.9770547,-0.03140593,0.2098232,0.4111961,-0.05349606,-0.9099758,0.4111961,-0.05349606,-0.9099758,619.2256,989.1265,619.2256,989.1265
2.804069,3.169358,155.669,357.1717,-0.01828976,0.9770153,-0.0322239,0.2099246,0.4113778,-0.05528753,-0.9097866,0.4113778,-0.05528753,-0.9097866,619.0699,987.962,619.0699,987.962
2.833413,3.204351,155.6372,357.1333,-0.01854359,0.9769441,-0.03259764,0.2101755,0.4118683,-0.05589733,-0.9095274,0.4118683,-0.05589733,-0.9095274,618.7089,987.5668,618.7089,987.5668
